통계표ID,통계표명,지역,cleaning1,cleaning2,연령대,cleaning3,cleaning4,구분,대상
DT_2BE0009,"기업규모별(신기준)/업력별 기업체수, 매출액, 총자산",,"기업규모별(신기준)/업력별 기업체수, 매출액, 총자산","기업규모별(신기준)/업력별 기업체수, 매출액, 총자산",,"기업규모별(신기준)/업력별 기업체수, 매출액, 총자산","기업규모별(신기준)/업력별 기업체수, 매출액, 총자산","기업규모별, 업력별","기업체수, 매출액, 총자산"
DT_2BE0010,"기업규모별(2016년기준 개편)/산업별(9차) 기업체수, 매출액, 총자산",,"기업규모별(2016년기준 개편)/산업별(9차) 기업체수, 매출액, 총자산","기업규모별(2016년기준 개편)/산업별(9차) 기업체수, 매출액, 총자산",,"기업규모별(2016년기준 개편)/산업별(9차) 기업체수, 매출액, 총자산","기업규모별(2016년기준 개편)/산업별(9차) 기업체수, 매출액, 총자산","기업규모별, 산업별","기업체수, 매출액, 총자산"
DT_2BE0011,"기업규모(2016년기준 개편)/종사자규모별 기업체수, 매출액, 총자산",,"기업규모(2016년기준 개편)/종사자규모별 기업체수, 매출액, 총자산","기업규모(2016년기준 개편)/종사자규모별 기업체수, 매출액, 총자산",,"기업규모(2016년기준 개편)/종사자규모별 기업체수, 매출액, 총자산","기업규모(2016년기준 개편)/종사자규모별 기업체수, 매출액, 총자산",종사자규모별,"기업체수, 매출액, 총자산"
DT_2BE0012,"기업규모(2016년 기준 개편)/매출액규모별 기업체수, 총자산",,"기업규모(2016년 기준 개편)/매출액규모별 기업체수, 총자산","기업규모(2016년 기준 개편)/매출액규모별 기업체수, 총자산",,"기업규모(2016년 기준 개편)/매출액규모별 기업체수, 총자산","기업규모(2016년 기준 개편)/매출액규모별 기업체수, 총자산",매출액규모별,"기업체수, 총자산"
DT_2BE0013,"기업규모(2016년기준 개편)/자산규모별 기업체수, 매출액",,"기업규모(2016년기준 개편)/자산규모별 기업체수, 매출액","기업규모(2016년기준 개편)/자산규모별 기업체수, 매출액",,"기업규모(2016년기준 개편)/자산규모별 기업체수, 매출액","기업규모(2016년기준 개편)/자산규모별 기업체수, 매출액",자산규모별,"기업체수, 매출액"
DT_2BE0014,"기업규모(2016년기준 개편)/업력별 기업체수, 매출액, 총자산",,"기업규모(2016년기준 개편)/업력별 기업체수, 매출액, 총자산","기업규모(2016년기준 개편)/업력별 기업체수, 매출액, 총자산",,"기업규모(2016년기준 개편)/업력별 기업체수, 매출액, 총자산","기업규모(2016년기준 개편)/업력별 기업체수, 매출액, 총자산",업력별,"기업체수, 매출액, 총자산"
DT_2BE0015,"기업규모(2016년기준 개편)/산업별(10차) 기업체수, 종사자수, 매출액, 총자산",,"기업규모(2016년기준 개편)/산업별(10차) 기업체수, 종사자수, 매출액, 총자산","기업규모(2016년기준 개편)/산업별(10차) 기업체수, 종사자수, 매출액, 총자산",,"기업규모(2016년기준 개편)/산업별(10차) 기업체수, 종사자수, 매출액, 총자산","기업규모(2016년기준 개편)/산업별(10차) 기업체수, 종사자수, 매출액, 총자산",산업별,"기업체수, 종사자수, 매출액, 총자산"
DT_3BE0001,"기업집단별/산업별(9차) 기업체수,매출액,총자산",,"기업집단별/산업별(9차) 기업체수,매출액,총자산","기업집단별/산업별(9차) 기업체수,매출액,총자산",,"기업집단별/산업별(9차) 기업체수,매출액,총자산","기업집단별/산업별(9차) 기업체수,매출액,총자산","기업집단별, 산업별","기업체수, 매출액, 총자산"
DT_3BE0002,"기업집단별/종사자규모별 기업체수,매출액,총자산",,"기업집단별/종사자규모별 기업체수,매출액,총자산","기업집단별/종사자규모별 기업체수,매출액,총자산",,"기업집단별/종사자규모별 기업체수,매출액,총자산","기업집단별/종사자규모별 기업체수,매출액,총자산","기업집단별, 종사자규모별","기업체수, 매출액, 총자산"
DT_3BE0003,"기업집단별/매출액규모별 기업체수,총자산",,"기업집단별/매출액규모별 기업체수,총자산","기업집단별/매출액규모별 기업체수,총자산",,"기업집단별/매출액규모별 기업체수,총자산","기업집단별/매출액규모별 기업체수,총자산","기업집단별, 매출액규모별","기업체수, 총자산"
DT_3BE0004,"기업집단별/자산규모별 기업체수,매출액",,"기업집단별/자산규모별 기업체수,매출액","기업집단별/자산규모별 기업체수,매출액",,"기업집단별/자산규모별 기업체수,매출액","기업집단별/자산규모별 기업체수,매출액","기업집단별, 자산규모별","기업체수, 매출액"
DT_4BE0001,"사업형태별/산업별(9차) 기업체수,매출액,총자산",,"사업형태별/산업별(9차) 기업체수,매출액,총자산","사업형태별/산업별(9차) 기업체수,매출액,총자산",,"사업형태별/산업별(9차) 기업체수,매출액,총자산","사업형태별/산업별(9차) 기업체수,매출액,총자산","사업형태별, 산업별","기업체수, 매출액, 총자산"
DT_4BE0002,"사업형태별/종사자규모별 기업체수,매출액,총자산",,"사업형태별/종사자규모별 기업체수,매출액,총자산","사업형태별/종사자규모별 기업체수,매출액,총자산",,"사업형태별/종사자규모별 기업체수,매출액,총자산","사업형태별/종사자규모별 기업체수,매출액,총자산","사업형태별, 종사자규모별","기업체수, 매출액, 총자산"
DT_4BE0003,"사업형태별/매출액규모별 기업체수,총자산",,"사업형태별/매출액규모별 기업체수,총자산","사업형태별/매출액규모별 기업체수,총자산",,"사업형태별/매출액규모별 기업체수,총자산","사업형태별/매출액규모별 기업체수,총자산","사업형태별, 매출액규모별","기업체수, 총자산"
DT_4BE0004,"사업형태별/산업별(9차) 기업체수, 매출액, 총자산",,"사업형태별/산업별(9차) 기업체수, 매출액, 총자산","사업형태별/산업별(9차) 기업체수, 매출액, 총자산",,"사업형태별/산업별(9차) 기업체수, 매출액, 총자산","사업형태별/산업별(9차) 기업체수, 매출액, 총자산","사업형태별, 산업별","기업체수, 매출액, 총자산"
DT_4BE0005,"사업형태별/종사자규모별 기업체수, 매출액, 총자산",,"사업형태별/종사자규모별 기업체수, 매출액, 총자산","사업형태별/종사자규모별 기업체수, 매출액, 총자산",,"사업형태별/종사자규모별 기업체수, 매출액, 총자산","사업형태별/종사자규모별 기업체수, 매출액, 총자산","사업형태별, 종사자규모별","기업체수, 매출액, 총자산"
DT_4BE0006,"사업형태별/매출액규모별 기업체수, 총자산",,"사업형태별/매출액규모별 기업체수, 총자산","사업형태별/매출액규모별 기업체수, 총자산",,"사업형태별/매출액규모별 기업체수, 총자산","사업형태별/매출액규모별 기업체수, 총자산","사업형태별, 매출액규모별","기업체수, 총자산"
DT_4BE0007,"사업형태별/ 산업별(10차) 기업체수, 매출액, 총자산",,"사업형태별/ 산업별(10차) 기업체수, 매출액, 총자산","사업형태별/ 산업별(10차) 기업체수, 매출액, 총자산",,"사업형태별/ 산업별(10차) 기업체수, 매출액, 총자산","사업형태별/ 산업별(10차) 기업체수, 매출액, 총자산","사업형태별, 산업별","기업체수, 매출액, 총자산"
DT_5BE0001,"기업규모별(구기준)/산업별(9차) 활동유형,소속사업장수",,"기업규모별(구기준)/산업별(9차) 활동유형,소속사업장수","기업규모별(구기준)/산업별(9차) 활동유형,소속사업장수",,"기업규모별(구기준)/산업별(9차) 활동유형,소속사업장수","기업규모별(구기준)/산업별(9차) 활동유형,소속사업장수","기업규모별, 산업별","활동유형, 소속사업장수"
DT_5BE0002,"기업규모별(신기준)/산업별(9차) 활동유형,소속사업장수",,"기업규모별(신기준)/산업별(9차) 활동유형,소속사업장수","기업규모별(신기준)/산업별(9차) 활동유형,소속사업장수",,"기업규모별(신기준)/산업별(9차) 활동유형,소속사업장수","기업규모별(신기준)/산업별(9차) 활동유형,소속사업장수","기업규모별, 산업별","활동유형, 소속사업장수"
DT_5BE0003,"기업규모별(2016년기준 개편)/산업별(9차) 활동유형, 소속사업장수",,"기업규모별(2016년기준 개편)/산업별(9차) 활동유형, 소속사업장수","기업규모별(2016년기준 개편)/산업별(9차) 활동유형, 소속사업장수",,"기업규모별(2016년기준 개편)/산업별(9차) 활동유형, 소속사업장수","기업규모별(2016년기준 개편)/산업별(9차) 활동유형, 소속사업장수","기업규모별, 산업별","활동유형, 소속사업장수"
DT_5BE0004,"기업규모별(2016년기준 개편)/산업별(10차) 활동유형, 소속사업장수",,"기업규모별(2016년기준 개편)/산업별(10차) 활동유형, 소속사업장수","기업규모별(2016년기준 개편)/산업별(10차) 활동유형, 소속사업장수",,"기업규모별(2016년기준 개편)/산업별(10차) 활동유형, 소속사업장수","기업규모별(2016년기준 개편)/산업별(10차) 활동유형, 소속사업장수","기업규모별, 산업별","활동유형, 소속사업장수"
DT_1BD0001,산업별 기업수 (활동/신생/소멸),,산업별 기업수 (활동/신생/소멸),산업별 기업수 (활동/신생/소멸),,산업별 기업수 (활동/신생/소멸),산업별 기업수 (활동/신생/소멸),산업별,기업수
DT_1BD0002,산업별 대표자 성·연령별 종사자수 (활동/신생/소멸),,산업별 대표자 성·연령별 종사자수 (활동/신생/소멸),산업별 대표자 성·연령별 종사자수 (활동/신생/소멸),,산업별 대표자 성·연령별 종사자수 (활동/신생/소멸),산업별 대표자 성·연령별 종사자수 (활동/신생/소멸),"산업별, 성·연령별","대표자, 종사자수"
DT_1BD0003,산업별 종사자 규모별 기업수(활동/신생/소멸),,산업별 종사자 규모별 기업수(활동/신생/소멸),산업별 종사자 규모별 기업수(활동/신생/소멸),,산업별 종사자 규모별 기업수(활동/신생/소멸),산업별 종사자 규모별 기업수(활동/신생/소멸),"산업별, 활동기업 수별, 신생기업 수별, 소멸기업 수별",종사자규모별기업수
DT_1BD0004,산업별 대표자 성·연령별 기업수(활동/신생/소멸),,산업별 대표자 성·연령별 기업수(활동/신생/소멸),산업별 대표자 성·연령별 기업수(활동/신생/소멸),,산업별 대표자 성·연령별 기업수(활동/신생/소멸),산업별 대표자 성·연령별 기업수(활동/신생/소멸),"산업별, 활동/신생/소멸별, 성·연령별","대표자, 기업수"
DT_1BD0006,산업별 조직형태별 기업수(활동/신생/소멸),,산업별 조직형태별 기업수(활동/신생/소멸),산업별 조직형태별 기업수(활동/신생/소멸),,산업별 조직형태별 기업수(활동/신생/소멸),산업별 조직형태별 기업수(활동/신생/소멸),"산업별, 조직형태별",기업수
DT_1BD0007,산업별 지역별 기업수(활동/신생/소멸),,산업별 지역별 기업수(활동/신생/소멸),산업별 지역별 기업수(활동/신생/소멸),,산업별 지역별 기업수(활동/신생/소멸),산업별 지역별 기업수(활동/신생/소멸),"산업별, 행정구역별",기업수
DT_1BD0008,산업별 매출액 규모별 기업수(활동/신생/소멸),,산업별 매출액 규모별 기업수(활동/신생/소멸),산업별 매출액 규모별 기업수(활동/신생/소멸),,산업별 매출액 규모별 기업수(활동/신생/소멸),산업별 매출액 규모별 기업수(활동/신생/소멸),"산업별, 활동/신생/소멸별",기업수
DT_1BD0009,산업별 종사자수(활동/신생/소멸),,산업별 종사자수(활동/신생/소멸),산업별 종사자수(활동/신생/소멸),,산업별 종사자수(활동/신생/소멸),산업별 종사자수(활동/신생/소멸),산업별,종사자수
DT_1BD0010,산업별 종사자 규모별 종사자수(활동/신생/소멸),,산업별 종사자 규모별 종사자수(활동/신생/소멸),산업별 종사자 규모별 종사자수(활동/신생/소멸),,산업별 종사자 규모별 종사자수(활동/신생/소멸),산업별 종사자 규모별 종사자수(활동/신생/소멸),"산업별, 규모별",종사자수
DT_1BD0011,산업별 매출액 규모별 종사자수(활동/신생/소멸),,산업별 매출액 규모별 종사자수(활동/신생/소멸),산업별 매출액 규모별 종사자수(활동/신생/소멸),,산업별 매출액 규모별 종사자수(활동/신생/소멸),산업별 매출액 규모별 종사자수(활동/신생/소멸),"산업별, 매출액 규모별","매출액, 종사자수"
DT_1BD0012,매출액 규모별/조직형태별 기업수(활동/신생/소멸),,매출액 규모별/조직형태별 기업수(활동/신생/소멸),매출액 규모별/조직형태별 기업수(활동/신생/소멸),,매출액 규모별/조직형태별 기업수(활동/신생/소멸),매출액 규모별/조직형태별 기업수(활동/신생/소멸),"규모별, 조직형태별",기업수
DT_1BD0013,종사자 규모별/조직형태별 기업수(활동/신생/소멸),,종사자 규모별/조직형태별 기업수(활동/신생/소멸),종사자 규모별/조직형태별 기업수(활동/신생/소멸),,종사자 규모별/조직형태별 기업수(활동/신생/소멸),종사자 규모별/조직형태별 기업수(활동/신생/소멸),"종사자규모별, 조직형태별",기업수
DT_1BD0014,대표자 성·연령별/조직형태별 기업수(활동/신생/소멸),,대표자 성·연령별/조직형태별 기업수(활동/신생/소멸),대표자 성·연령별/조직형태별 기업수(활동/신생/소멸),,대표자 성·연령별/조직형태별 기업수(활동/신생/소멸),대표자 성·연령별/조직형태별 기업수(활동/신생/소멸),"대표자성·연령별, 조직형태별",기업수
DT_1BD0015,지역별/조직형태별 기업수(활동/신생/소멸),,지역별/조직형태별 기업수(활동/신생/소멸),지역별/조직형태별 기업수(활동/신생/소멸),,지역별/조직형태별 기업수(활동/신생/소멸),지역별/조직형태별 기업수(활동/신생/소멸),"지역별, 조직형태별",기업수
DT_1BD0016,산업별 지역별 종사자수(활동/신생/소멸),,산업별 지역별 종사자수(활동/신생/소멸),산업별 지역별 종사자수(활동/신생/소멸),,산업별 지역별 종사자수(활동/신생/소멸),산업별 지역별 종사자수(활동/신생/소멸),"산업별, 행정구역별",종사자수
DT_1BD0017,산업별 조직형태별 종사자수(활동/신생/소멸),,산업별 조직형태별 종사자수(활동/신생/소멸),산업별 조직형태별 종사자수(활동/신생/소멸),,산업별 조직형태별 종사자수(활동/신생/소멸),산업별 조직형태별 종사자수(활동/신생/소멸),"산업별, 조직형태별",종사자수
DT_1BD0018,매출액 규모별/조직형태별 종사자수(활동/신생/소멸),,매출액 규모별/조직형태별 종사자수(활동/신생/소멸),매출액 규모별/조직형태별 종사자수(활동/신생/소멸),,매출액 규모별/조직형태별 종사자수(활동/신생/소멸),매출액 규모별/조직형태별 종사자수(활동/신생/소멸),"규모별, 조직형태별",종사자수
DT_1BD0019,종사자 규모별/조직형태별 종사자수(활동/신생/소멸),,종사자 규모별/조직형태별 종사자수(활동/신생/소멸),종사자 규모별/조직형태별 종사자수(활동/신생/소멸),,종사자 규모별/조직형태별 종사자수(활동/신생/소멸),종사자 규모별/조직형태별 종사자수(활동/신생/소멸),"종사자 규모별, 조직형태별",종사자수
DT_1BD0020,대표자 성·연령별/조직형태별 종사자수(활동/신생/소멸),,대표자 성·연령별/조직형태별 종사자수(활동/신생/소멸),대표자 성·연령별/조직형태별 종사자수(활동/신생/소멸),,대표자 성·연령별/조직형태별 종사자수(활동/신생/소멸),대표자 성·연령별/조직형태별 종사자수(활동/신생/소멸),"대표자성·연령별, 조직형태별",종사자수
DT_1BD0021,지역별/조직형태별 종사자수(활동/신생/소멸),,지역별/조직형태별 종사자수(활동/신생/소멸),지역별/조직형태별 종사자수(활동/신생/소멸),,지역별/조직형태별 종사자수(활동/신생/소멸),지역별/조직형태별 종사자수(활동/신생/소멸),"지역별, 조직형태별",종사자수
DT_1BD1001,산업별 기업수,,산업별 기업수,산업별 기업수,,산업별 기업수,산업별 기업수,산업별,기업
DT_1BD1002,산업별 대표자 성·연령별 종사자수,,산업별 대표자 성·연령별 종사자수,산업별 대표자 성·연령별 종사자수,,산업별 대표자 성·연령별 종사자수,산업별 대표자 성·연령별 종사자수,"산업별, 성별, 연령별","대표자, 종사자수"
DT_1BD1003,산업별 종사자 규모별 기업수,,산업별 종사자 규모별 기업수,산업별 종사자 규모별 기업수,,산업별 종사자 규모별 기업수,산업별 종사자 규모별 기업수,"산업별, 종사자규모별","종사자, 기업수"
DT_1BD1004,산업별 대표자 성·연령별 기업수,,산업별 대표자 성·연령별 기업수,산업별 대표자 성·연령별 기업수,,산업별 대표자 성·연령별 기업수,산업별 대표자 성·연령별 기업수,"산업별, 성·연령별","대표자, 기업수"
DT_1BD1006,산업별 조직형태별 기업수,,산업별 조직형태별 기업수,산업별 조직형태별 기업수,,산업별 조직형태별 기업수,산업별 조직형태별 기업수,"산업별, 조직형태별",기업수
DT_1BD1007,시도별 산업중분류별 기업수,,시도별 산업중분류별 기업수,시도별 산업중분류별 기업수,,시도별 산업중분류별 기업수,시도별 산업중분류별 기업수,"시도별, 산업중분류별",기업수
DT_1BD1008,산업별 매출액 규모별 기업수,,산업별 매출액 규모별 기업수,산업별 매출액 규모별 기업수,,산업별 매출액 규모별 기업수,산업별 매출액 규모별 기업수,"산업별, 매출액규모별",기업수
DT_1BD1009,산업별 종사자수,,산업별 종사자수,산업별 종사자수,,산업별 종사자수,산업별 종사자수,산업별,종사자수
DT_1BD1010,산업별 종사자 규모별 종사자수,,산업별 종사자 규모별 종사자수,산업별 종사자 규모별 종사자수,,산업별 종사자 규모별 종사자수,산업별 종사자 규모별 종사자수,"산업별, 규모별",종사자수
DT_1BD1011,산업별 매출액 규모별 종사자수,,산업별 매출액 규모별 종사자수,산업별 매출액 규모별 종사자수,,산업별 매출액 규모별 종사자수,산업별 매출액 규모별 종사자수,"산업별, 매출액규모별","매출액, 종사자수"
DT_1BD1012,매출액 규모별 조직형태별 기업수,,매출액 규모별 조직형태별 기업수,매출액 규모별 조직형태별 기업수,,매출액 규모별 조직형태별 기업수,매출액 규모별 조직형태별 기업수,"매출액규모별, 조직형태별",기업수
DT_1BD1013,종사자 규모별 조직형태별 기업수,,종사자 규모별 조직형태별 기업수,종사자 규모별 조직형태별 기업수,,종사자 규모별 조직형태별 기업수,종사자 규모별 조직형태별 기업수,"종사자규모별, 조직형태별",조직형태별 기업수
DT_1BD1014,대표자 성·연령별 조직형태별 기업수,,대표자 성·연령별 조직형태별 기업수,대표자 성·연령별 조직형태별 기업수,,대표자 성·연령별 조직형태별 기업수,대표자 성·연령별 조직형태별 기업수,"대표자성별, 연령별, 조직형태별",기업수
DT_1BD1015,시도별 조직형태별 기업수,,시도별 조직형태별 기업수,시도별 조직형태별 기업수,,시도별 조직형태별 기업수,시도별 조직형태별 기업수,"시도별, 조직형태별",기업수
DT_1BD1016,시도별 산업중분류별 종사자수,,시도별 산업중분류별 종사자수,시도별 산업중분류별 종사자수,,시도별 산업중분류별 종사자수,시도별 산업중분류별 종사자수,"시도별, 산업중분류별",종사자수
DT_1BD1017,산업별 조직형태별 종사자수,,산업별 조직형태별 종사자수,산업별 조직형태별 종사자수,,산업별 조직형태별 종사자수,산업별 조직형태별 종사자수,"산업별, 조직형태별",종사자수
DT_1BD1018,매출액 규모별 조직형태별 종사자수,,매출액 규모별 조직형태별 종사자수,매출액 규모별 조직형태별 종사자수,,매출액 규모별 조직형태별 종사자수,매출액 규모별 조직형태별 종사자수,"매출액규모별, 조직형태별",종사자수
DT_1BD1019,종사자 규모별 조직형태별 종사자수,,종사자 규모별 조직형태별 종사자수,종사자 규모별 조직형태별 종사자수,,종사자 규모별 조직형태별 종사자수,종사자 규모별 조직형태별 종사자수,"종사자규모별, 조직형태별",조직형태별 종사자수
DT_1BD1020,대표자 성·연령별 조직형태별 종사자수,,대표자 성·연령별 조직형태별 종사자수,대표자 성·연령별 조직형태별 종사자수,,대표자 성·연령별 조직형태별 종사자수,대표자 성·연령별 조직형태별 종사자수,"대표자성별, 조직형태별",조직형태별 종사자수
DT_1BD1021,시도별 조직형태별 종사자수,,시도별 조직형태별 종사자수,시도별 조직형태별 종사자수,,시도별 조직형태별 종사자수,시도별 조직형태별 종사자수,"시도별, 조직형태별",종사자수
DT_1BD1022,산업별 기업규모별 기업수,,산업별 기업규모별 기업수,산업별 기업규모별 기업수,,산업별 기업규모별 기업수,산업별 기업규모별 기업수,"산업별, 기업규모별",기업수
DT_1BD1023,산업별 기업규모별 종사자수,,산업별 기업규모별 종사자수,산업별 기업규모별 종사자수,,산업별 기업규모별 종사자수,산업별 기업규모별 종사자수,"산업별, 기업규모별",기업규모별 종사자수
DT_1BD1024,산업별 업력별 기업수,,산업별 업력별 기업수,산업별 업력별 기업수,,산업별 업력별 기업수,산업별 업력별 기업수,"산업별, 업력별",기업수
DT_1BD1029,산업별 업력별 종사자수,,산업별 업력별 종사자수,산업별 업력별 종사자수,,산업별 업력별 종사자수,산업별 업력별 종사자수,"산업별, 업력별",종사자수
DT_1BD1030,시도별 산업대분류별 종사자규모별 기업 수,,시도별 산업대분류별 종사자규모별 기업 수,시도별 산업대분류별 종사자규모별 기업 수,,시도별 산업대분류별 종사자규모별 기업 수,시도별 산업대분류별 종사자규모별 기업 수,"시도별, 산업별, 종사자규모별",기업 수
DT_1BD1031,시도별 산업대분류별 매출액규모별 기업 수,,시도별 산업대분류별 매출액규모별 기업 수,시도별 산업대분류별 매출액규모별 기업 수,,시도별 산업대분류별 매출액규모별 기업 수,시도별 산업대분류별 매출액규모별 기업 수,"행정구역별, 산업별, 매출액규모별",기업 수
DT_1BD1032,시군구별 산업대분류별 기업 수,,시군구별 산업대분류별 기업 수,시군구별 산업대분류별 기업 수,,시군구별 산업대분류별 기업 수,시군구별 산업대분류별 기업 수,"시군구별, 산업대분류별",기업 수
DT_1BD1033,시도별 산업대분류별 종사자규모별 종사자 수,,시도별 산업대분류별 종사자규모별 종사자 수,시도별 산업대분류별 종사자규모별 종사자 수,,시도별 산업대분류별 종사자규모별 종사자 수,시도별 산업대분류별 종사자규모별 종사자 수,"시도별, 산업별, 종사자규모별",종사자 수
DT_1BD1034,시도별 산업대분류별 매출액규모별 종사자 수,,시도별 산업대분류별 매출액규모별 종사자 수,시도별 산업대분류별 매출액규모별 종사자 수,,시도별 산업대분류별 매출액규모별 종사자 수,시도별 산업대분류별 매출액규모별 종사자 수,"행정구역별, 산업별, 매출액규모별",종사자 수
DT_1BD1035,시군구별 산업대분류별 종사자 수,,시군구별 산업대분류별 종사자 수,시군구별 산업대분류별 종사자 수,,시군구별 산업대분류별 종사자 수,시군구별 산업대분류별 종사자 수,"시군구별, 산업대분류별",종사자
DT_2BD0001,산업별 종사자 규모별 신생기업 생존율,,산업별 종사자 규모별 신생기업 생존율,산업별 종사자 규모별 신생기업 생존율,,산업별 종사자 규모별 신생기업 생존율,산업별 종사자 규모별 신생기업 생존율,"산업별, 규모별",신생기업
DT_2BD0002,지역별 신생기업 생존율,,지역별 신생기업 생존율,지역별 신생기업 생존율,,지역별 신생기업 생존율,지역별 신생기업 생존율,지역별,신생기업
DT_2BD0003,산업별 신생기업 생존율,,산업별 신생기업 생존율,산업별 신생기업 생존율,,산업별 신생기업 생존율,산업별 신생기업 생존율,산업별,신생기업
DT_2BD0004,대표자 성·연령별 기업 생존율,,대표자 성·연령별 기업 생존율,대표자 성·연령별 기업 생존율,,대표자 성·연령별 기업 생존율,대표자 성·연령별 기업 생존율,"대표자성별, 연령별",기업 생존율
DT_2BD0005,산업별 조직형태별 신생기업 생존율,,산업별 조직형태별 신생기업 생존율,산업별 조직형태별 신생기업 생존율,,산업별 조직형태별 신생기업 생존율,산업별 조직형태별 신생기업 생존율,"산업별, 조직형태별",신생기업
DT_2BD1001,산업별 종사자규모별 신생기업 생존율,,산업별 종사자규모별 신생기업 생존율,산업별 종사자규모별 신생기업 생존율,,산업별 종사자규모별 신생기업 생존율,산업별 종사자규모별 신생기업 생존율,"산업별, 종사자규모별",신생기업
DT_2BD1002,시도별 신생기업 생존율,,시도별 신생기업 생존율,시도별 신생기업 생존율,,시도별 신생기업 생존율,시도별 신생기업 생존율,행정구역별,신생기업
DT_2BD1003,산업별 신생기업 생존율,,산업별 신생기업 생존율,산업별 신생기업 생존율,,산업별 신생기업 생존율,산업별 신생기업 생존율,산업별,신생기업
DT_2BD1004,대표자 성·연령별 신생기업 생존율,,대표자 성·연령별 신생기업 생존율,대표자 성·연령별 신생기업 생존율,,대표자 성·연령별 신생기업 생존율,대표자 성·연령별 신생기업 생존율,"대표자성별, 연령별",신생기업
DT_2BD1005,산업별 조직형태별 신생기업 생존율,,산업별 조직형태별 신생기업 생존율,산업별 조직형태별 신생기업 생존율,,산업별 조직형태별 신생기업 생존율,산업별 조직형태별 신생기업 생존율,"산업별, 조직형태별",신생기업
DT_3BD0001,산업별 20% 이상 고성장기업 및 가젤기업,,산업별 20% 이상 고성장기업 및 가젤기업,산업별 20% 이상 고성장기업 및 가젤기업,,산업별 20% 이상 고성장기업 및 가젤기업,산업별 20% 이상 고성장기업 및 가젤기업,산업별,"고성장기업, 가젤기업"
DT_3BD0002,지역별 20% 이상 고성장기업 및 가젤기업,,지역별 20% 이상 고성장기업 및 가젤기업,지역별 20% 이상 고성장기업 및 가젤기업,,지역별 20% 이상 고성장기업 및 가젤기업,지역별 20% 이상 고성장기업 및 가젤기업,지역별,기업
DT_3BD0003,산업별 10% 이상 고성장기업 및 가젤기업,,산업별 10% 이상 고성장기업 및 가젤기업,산업별 10% 이상 고성장기업 및 가젤기업,,산업별 10% 이상 고성장기업 및 가젤기업,산업별 10% 이상 고성장기업 및 가젤기업,산업별,"고성장기업, 가젤기업"
DT_3BD0004,지역별 10% 이상 고성장기업 및 가젤기업,,지역별 10% 이상 고성장기업 및 가젤기업,지역별 10% 이상 고성장기업 및 가젤기업,,지역별 10% 이상 고성장기업 및 가젤기업,지역별 10% 이상 고성장기업 및 가젤기업,지역별,"고성장기업, 가젤기업"
DT_3BD1001,산업별 20% 이상 고성장기업 및 가젤기업,,산업별 20% 이상 고성장기업 및 가젤기업,산업별 20% 이상 고성장기업 및 가젤기업,,산업별 20% 이상 고성장기업 및 가젤기업,산업별 20% 이상 고성장기업 및 가젤기업,산업별,"고성장기업, 가젤기업"
DT_3BD1002,시도별 20% 이상 고성장기업 및 가젤기업,,시도별 20% 이상 고성장기업 및 가젤기업,시도별 20% 이상 고성장기업 및 가젤기업,,시도별 20% 이상 고성장기업 및 가젤기업,시도별 20% 이상 고성장기업 및 가젤기업,행정구역별,"고성장기업, 가젤기업"
DT_3BD1003,산업별 10% 이상 고성장기업 및 가젤기업,,산업별 10% 이상 고성장기업 및 가젤기업,산업별 10% 이상 고성장기업 및 가젤기업,,산업별 10% 이상 고성장기업 및 가젤기업,산업별 10% 이상 고성장기업 및 가젤기업,산업별,"고성장기업, 가젤기업"
DT_3BD1004,시도별 10% 이상 고성장기업 및 가젤기업,,시도별 10% 이상 고성장기업 및 가젤기업,시도별 10% 이상 고성장기업 및 가젤기업,,시도별 10% 이상 고성장기업 및 가젤기업,시도별 10% 이상 고성장기업 및 가젤기업,행정구역별,"고성장기업, 가젤기업"
DT_4BD1001,산업별 장애인·비장애인 기업별 기업 수,,산업별 장애인·비장애인 기업별 기업 수,산업별 장애인·비장애인 기업별 기업 수,,산업별 장애인·비장애인 기업별 기업 수,산업별 장애인·비장애인 기업별 기업 수,"산업별, 기업별",기업 수
DT_4BD1002,매출액 규모별 장애인·비장애인 기업별 기업 수,,매출액 규모별 장애인·비장애인 기업별 기업 수,매출액 규모별 장애인·비장애인 기업별 기업 수,,매출액 규모별 장애인·비장애인 기업별 기업 수,매출액 규모별 장애인·비장애인 기업별 기업 수,"매출액규모별, 장애인·비장애인기업별",기업 수
DT_4BD1003,종사자 규모별 장애인·비장애인 기업별 기업 수,,종사자 규모별 장애인·비장애인 기업별 기업 수,종사자 규모별 장애인·비장애인 기업별 기업 수,,종사자 규모별 장애인·비장애인 기업별 기업 수,종사자 규모별 장애인·비장애인 기업별 기업 수,"종사자규모별, 기업유형별",장애인과 비장애인 기업 수
DT_4BD1004,산업별 장애인·비장애인 기업별 종사자 수,,산업별 장애인·비장애인 기업별 종사자 수,산업별 장애인·비장애인 기업별 종사자 수,,산업별 장애인·비장애인 기업별 종사자 수,산업별 장애인·비장애인 기업별 종사자 수,"산업별, 기업별",종사자 수
DT_4BD1005,매출액 규모별 장애인·비장애인 기업별 종사자 수,,매출액 규모별 장애인·비장애인 기업별 종사자 수,매출액 규모별 장애인·비장애인 기업별 종사자 수,,매출액 규모별 장애인·비장애인 기업별 종사자 수,매출액 규모별 장애인·비장애인 기업별 종사자 수,"매출액 규모별, 장애인·비장애인 기업별",종사자 수
